NO,SubNo,分類,スキルカテゴリ,サブカテゴリ,スキルレベル,チェック項目,BZ,DE,必須 スキル,変更内容,column_12,SubNo_2023,スキルレベル_2023,チェック項目_2023,AI活用 （削除予定）,AI活用 タイプ （削除予定）,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26,column_27,version,sheet,source_url
296,1,解析技術,オペレーションズリサーチ,シミュレーション・データ同化,★★,離散型・連続型シミュレーションについて、説明できる（モンテカルロ、ヒストリカル、Agentベースなど）,,,,,,1,★★,離散型・連続型シミュレーションについて、説明できる（モンテカルロ、ヒストリカル、Agentベースなど）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
297,2,解析技術,オペレーションズリサーチ,シミュレーション・データ同化,★★,マルコフ連鎖の特徴を理解し、MCMC（マルコフ連鎖モンテカルロ法）シミュレーションをライブラリを用いて実装できる,,,,,,2,★★,マルコフ連鎖の特徴を理解し、MCMC（マルコフ連鎖モンテカルロ法）シミュレーションをライブラリを用いて実装できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
298,3,解析技術,オペレーションズリサーチ,シミュレーション・データ同化,★★★,データ同化の概念を理解し、実行できる（データを用いてシミュレーション内の不確実性を減少させる計算技法など）,,,,,,3,★★★,データ同化の概念を理解し、実行できる（データを用いてシミュレーション内の不確実性を減少させる計算技法など）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
299,4,解析技術,オペレーションズリサーチ,シミュレーション・データ同化,★★★,シミュレーションにおける問題を理解し、対処を考えることができる（初期条件・境界条件・パラメータの不確実性、データ分布の不均一性、実験計画の最適性など）,,,,,,4,★★★,シミュレーションにおける問題を理解し、対処を考えることができる（初期条件・境界条件・パラメータの不確実性、データ分布の不均一性、実験計画の最適性など）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
300,5,解析技術,オペレーションズリサーチ,シミュレーション・データ同化,★★★,MCMC（マルコフ連鎖モンテカルロ法）における各種アルゴリズム（メトロポリス-ヘイスティングス法、ギブスサンプラー、ハミルトニアン・モンテカルロ法など）について理解し、活用できる,,,,,,5,★★★,MCMC（マルコフ連鎖モンテカルロ法）における各種アルゴリズム（メトロポリス-ヘイスティングス法、ギブスサンプラー、ハミルトニアン・モンテカルロ法など）について理解し、活用できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
301,6,解析技術,オペレーションズリサーチ,最適化,★★,複数のA/Bテスト、スプリットテストの統計的結果を踏まえ、デザイン等の最適化を実施できる,＊,,,,,6,★★,複数のA/Bテスト、スプリットテストの統計的結果を踏まえ、デザイン等の最適化を実施できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
302,7,解析技術,オペレーションズリサーチ,最適化,★★,一定の制約下で最適解の識別と報酬の最大化がともに求められ、かつ報酬分布が時間経過で変化するような問題に対して、多腕バンディットアルゴリズムを適用・実装できる,,,,,,7,★★,一定の制約下で最適解の識別と報酬の最大化がともに求められ、かつ報酬分布が時間経過で変化するような問題に対して、多腕バンディットアルゴリズムを適用・実装できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
303,8,解析技術,オペレーションズリサーチ,最適化,★★,線形計画法について理解し、その解法(単体法や内点法など)について説明できる,,,,修正,,8,★★,線形計画法について説明できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
304,9,解析技術,オペレーションズリサーチ,最適化,★★,凸関数および、凸計画問題における双対問題やKKT(Karush-Kuhn-Tucker)条件を説明できる,,,,修正,,9,★★,凸関数および、凸計画問題の条件や特徴を説明できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
305,10,解析技術,オペレーションズリサーチ,最適化,★★,連続最適化問題（制約なし）において、使用可能なアルゴリズムを説明できる（ニュートン法、最急降下法など）,,,,,,10,★★,連続最適化問題（制約なし）において、使用可能なアルゴリズムを説明できる（ニュートン法、最急降下法など）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
306,11,解析技術,オペレーションズリサーチ,最適化,★★,連続最適化問題（制約あり）において、使用可能なアルゴリズムを説明できる（ラグランジュ未定乗数法、内点法、逐次2次計画法など）,,,,,,11,★★,連続最適化問題（制約あり）において、使用可能なアルゴリズムを説明できる（ラグランジュ未定乗数法、内点法、逐次2次計画法など）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
307,12,解析技術,オペレーションズリサーチ,最適化,★★,組み合わせ最適化問題において、代表的な解法の概念を説明できる（厳密解法（分枝限定法、動的計画法、切除平面法）、近似解法（局所探索、貪欲法など）、メタヒューリスティック解法（遺伝的アルゴリズム、タブーサーチなど））,,,,,,12,★★,組み合わせ最適化問題において、代表的な解法の概念を説明できる（厳密解法（分枝限定法、動的計画法、切除平面法）、近似解法（局所探索、貪欲法など）、メタヒューリスティック解法（遺伝的アルゴリズム、タブーサーチなど））,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
308,13,解析技術,オペレーションズリサーチ,最適化,★★★,ビジネス課題にあわせて、変数や制約を洗い出し、単目的・多目的や線形・非線形を問わず、最適化モデリングができる,＊,,,修正,,13,★★★,ビジネス課題にあわせて、変数、目的関数、制約を定式化し、線形・非線形を問わず、最適化モデリングができる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
309,14,解析技術,オペレーションズリサーチ,最適化,★★★,代表的な最適化問題に関して、モデリングを行い、ソルバーを使い、最適化できる（ナップザック問題、ネットワークフロー問題、巡回路問題など）,,,,,,14,★★★,代表的な最適化問題に関して、モデリングを行い、ソルバーを使い、最適化できる（ナップザック問題、ネットワークフロー問題、巡回路問題など）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
250,1,非構造化データ処理,非構造化データ処理,自然言語処理,★,テキストデータに対する代表的なクリーニング処理（小文字化、数値置換、半角変換、記号除去、ステミングなど）を目的に応じて適切に実施できる,,＊,,,,1,★,テキストデータに対する代表的なクリーニング処理（小文字化、数値置換、半角変換、記号除去、ステミングなど）を目的に応じて適切に実施できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
251,2,非構造化データ処理,非構造化データ処理,自然言語処理,★,形態素解析や係り受け解析のライブラリを適切に使い、基本的な文書構造解析を行うことができる,,,,,,2,★,形態素解析や係り受け解析のライブラリを適切に使い、基本的な文書構造解析を行うことができる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
252,3,非構造化データ処理,非構造化データ処理,自然言語処理,★,自然言語処理を用いて解けるタスクを理解し、各タスクの入出力を説明できる（GLUEタスクや固有表現抽出、機械翻訳など）,,,,,,3,★,自然言語処理を用いて解けるタスクを理解し、各タスクの入出力を説明できる（GLUEタスクや固有表現抽出、機械翻訳など）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
253,4,非構造化データ処理,非構造化データ処理,自然言語処理,★★,Unigram language modelやBPE（Byte Pair Encoding）によるサブワード分割手法を理解しており、適切に実施できる,,,,修正,,4,★★,Unigram language modelやBPE（Byte Pair Encoding）によるサブワード分割手法を理解しており、必要に応じて適切に実施できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
254,5,非構造化データ処理,非構造化データ処理,自然言語処理,★★,使用メモリの削減やモデルの精度向上のため、名寄せやユーザ定義辞書の作成、ストップワードの除去・置換を実施できる,,,,,,5,★★,使用メモリの削減やモデルの精度向上のため、名寄せやユーザ定義辞書の作成、ストップワードの除去・置換を実施できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
255,6,非構造化データ処理,非構造化データ処理,自然言語処理,★★,Word2Vec（Skip-gram、CBoW）やTransformerなどを用いて単語・文書を数値ベクトル化し、TF-IDFやcos類似度などの指標で文書間の類似度を計算できる,,,,2023年の256と統合,,6,★★,Word2Vec（Skip-gram、CBoW）やTransformerを用いて、単語・文章を類似度計算が可能なベクトルに変換できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
262,7,非構造化データ処理,非構造化データ処理,自然言語処理,★★,"再帰型ニューラルネットワーク(RNN), 長期短期記憶(LSTM)に加え、GPT（Generative Pre-Trained transformer）、BERT（Bidirectional Encoder Representations from Transformer）などのニューラル言語モデルを理解し、使いこなせる",,,,2023年の264と統合 ★２へ変更,,14,★★★,再帰型ニューラルネットワーク（RNN）、長期短期記憶（LSTM）、Transformerなどを用いたニューラル言語モデルを理解し、使いこなせる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
257,8,非構造化データ処理,非構造化データ処理,自然言語処理,★★★,形態素解析・構文解析・固有表現抽出のアルゴリズムを理解し、使いこなせる,,,,,,8,★★★,形態素解析・構文解析・固有表現抽出のアルゴリズムを理解し、使いこなせる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
258,9,非構造化データ処理,非構造化データ処理,自然言語処理,★★★,N-gram言語モデルの構築方法と代表的なスムージングアルゴリズムを理解し、使いこなせる,,,,,,9,★★★,N-gram言語モデルの構築方法と代表的なスムージングアルゴリズムを理解し、使いこなせる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
259,10,非構造化データ処理,非構造化データ処理,自然言語処理,★★★,索引型の全文検索の仕組み（転置インデックス、スコアリング、関連性フィードバック、Embedding Index）を理解し、適切に使いこなせる,,＊,,,,10,★★★,索引型の全文検索の仕組み（転置インデックス、スコアリング、関連性フィードバック、Embedding Index）を理解し、適切に使いこなせる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
260,11,非構造化データ処理,非構造化データ処理,自然言語処理,★★★,主要なトピックモデル（確率的潜在意味解析[pLSA]、潜在的ディリクレ配分法[LDA]）の仕組みを理解し、使いこなせる,,,,,,12,★★★,主要なトピックモデル（確率的潜在意味解析[pLSA]、潜在的ディリクレ配分法[LDA]）の仕組みを理解し、使いこなせる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
261,12,非構造化データ処理,非構造化データ処理,自然言語処理,★★★,データの特性に合わせ、適切な言語処理アルゴリズムを選択し、誤り分析、辞書作成などを行い、成果を最大化できる,,,,,,13,★★★,データの特性に合わせ、適切な言語処理アルゴリズムを選択し、誤り分析、辞書作成などを行い、成果を最大化できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
263,13,非構造化データ処理,非構造化データ処理,自然言語処理,★★★,Transformerや隠れマルコフモデル（Hidden Markov Model：HMM）、Conditional Random Fields：CRF）などを用いた系列ラベリング手法を理解し、使いこなせる,,,,,,15,★★★,Transformerや隠れマルコフモデル（Hidden Markov Model：HMM）、Conditional Random Fields：CRF）などを用いた系列ラベリング手法を理解し、使いこなせる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
265,14,非構造化データ処理,非構造化データ処理,画像認識,★,画像のデジタル表現の仕組みと代表的な画像フォーマットを知っている,,,,,,17,★,画像のデジタル表現の仕組みと代表的な画像フォーマットを知っている,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
266,15,非構造化データ処理,非構造化データ処理,画像認識,★,画像に対して、目的に応じた適切な色変換や簡単なフィルタ処理などを行うことができる,,＊,,,,18,★,画像に対して、目的に応じた適切な色変換や簡単なフィルタ処理などを行うことができる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
267,16,非構造化データ処理,非構造化データ処理,画像認識,★,画像データに対する代表的なクリーニング処理（リサイズ、パディング、正規化など）を目的に応じて適切に実施できる,,＊,,,,19,★,画像データに対する代表的なクリーニング処理（リサイズ、パディング、正規化など）を目的に応じて適切に実施できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
268,17,非構造化データ処理,非構造化データ処理,画像認識,★,画像認識を用いて解けるタスクを理解し、入出力とともに説明できる（識別、物体検出、セグメンテーションなどの基本的タスクや、姿勢推定、自動運転などの応用的タスク）,,,,,,20,★,画像認識を用いて解けるタスクを理解し、入出力とともに説明できる（識別、物体検出、セグメンテーションなどの基本的タスクや、姿勢推定、自動運転などの応用的タスク）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
269,18,非構造化データ処理,非構造化データ処理,画像認識,★★,画像の処理や解析において、効果的なパターン検出や画像特徴抽出などを既存手法から選ぶことができる,,＊,,,,21,★★,画像の処理や解析において、効果的なパターン検出や画像特徴抽出などを既存手法から選ぶことができる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
270,19,非構造化データ処理,非構造化データ処理,画像認識,★★,代表的な画像認識モデルを理解し使いこなせる（ResNet、EfficientNet、Vision Transformer (ViT)、Swin Transformer）,,,,修正,,22,★★,ResNet、EfficientNet、MobileNet、Vision Transformer (ViT)などの代表的な画像認識モデルを理解し使いこなせる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
,20,非構造化データ処理,非構造化データ処理,画像認識,★★,画像と言語の対照学習について理解し、学習済みのモデル（CLIPなど）を用いてゼロショット分類や画像–テキスト検索の仕組みを設計し実装できる,,,,新規,,,,,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
271,21,非構造化データ処理,非構造化データ処理,画像認識,★★,ライブラリ、学習済みモデルなどを用いて識別・物体検出・セマンティックセグメンテーションなどの画像処理を実装・評価できる,,,,,,23,★★,ライブラリ、学習済みモデルなどを用いて識別・物体検出・セマンティックセグメンテーションなどの画像処理を実装・評価できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
272,22,非構造化データ処理,非構造化データ処理,画像認識,★★★,画像・動画処理を行う環境（モバイル上での処理など実行に制約を伴う環境）と処理パフォーマンスを考慮し、適切な手法の選択とモデルの構築ができる,,＊,,,,24,★★★,画像・動画処理を行う環境（モバイル上での処理など実行に制約を伴う環境）と処理パフォーマンスを考慮し、適切な手法の選択とモデルの構築ができる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
273,23,非構造化データ処理,非構造化データ処理,画像認識,★★★,画像を元にした被写体の3次元構造の推定や新視点画像生成など、画像で表現された3次元の物体のデータを扱うことができる。（NeRF、3D Gaussian Splattingなど）,,,,修正,,25,★★★,画像を元にした被写体の3次元構造の推定や新視点画像生成など、画像で表現された3次元の物体のデータを扱うことができる。（NeRFなど）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
274,24,非構造化データ処理,非構造化データ処理,動画認識,★,動画のデジタル表現の仕組みと代表的な動画フォーマットを理解しており、動画から画像を抽出する既存方法を使うことができる,,,,,,26,★,動画のデジタル表現の仕組みと代表的な動画フォーマットを理解しており、動画から画像を抽出する既存方法を使うことができる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
275,25,非構造化データ処理,非構造化データ処理,動画認識,★★,物体が動いている方向・速度を、適切なオプティカルフローの手法（Horn–Schunck法、RAFT、GMFlowなど）を選択した上で動画から推定し、トラッキングできる,,,,修正,,27,★★,物体が動いている方向・速度（オプティカルフロー）を動画から推定し、トラッキングできる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
,26,非構造化データ処理,非構造化データ処理,動画認識,★★,動画認識のモデル（3D-CNN、時空間Transfomerなど）の特徴や学習済みの基盤モデル（VideoMAE、TimeSformer、ViViT など）の活用方法を理解し、映像認識の目的やタスクに応じて選定できる,,,,新規,,,,,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
,27,非構造化データ処理,非構造化データ処理,動画認識,★★,"動画中の動作・イベント認識において入力情報の設計やセグメンテーション、イベントの検出の処理を適切なモデル（ResNet, C3D, ViT, TimesFormerなど）を選択して実装できる",,,,新規,,,,,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
,28,非構造化データ処理,非構造化データ処理,動画認識,★★,キーポイントの検出や座標表現、時系列の推定精度の安定性などの基本概念や手法を理解し、2次元または3次元の姿勢推定の仕組みの実装や推定精度の評価を実行できる,,,,新規,,,,,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
276,29,非構造化データ処理,非構造化データ処理,動画認識,★★★,動画の解析手法の現況について理解し、専門家とともに実装を検討できる（Kernel Temporal Segmentation[KTS]による動画の映像区間切り分け、動画内の重要度推定によるハイライト作成など）,,,,,,28,★★★,動画の解析手法の現況について理解し、専門家とともに実装を検討できる（Kernel Temporal Segmentation[KTS]による動画の映像区間切り分け、動画内の重要度推定によるハイライト作成など）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
277,30,非構造化データ処理,非構造化データ処理,音声認識,★,wavやmp3などの代表的な音声フォーマットの特徴や用途、基本的な変換処理について説明できる（サンプリングレート、符号化、量子化など）,,,,,,29,★,wavやmp3などの代表的な音声フォーマットの特徴や用途、基本的な変換処理について説明できる（サンプリングレート、符号化、量子化など）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
278,31,非構造化データ処理,非構造化データ処理,音声認識,★★,音声データから、分析目的にあった波形データの抽出やノイズの除去ができる,,＊,,,,30,★★,音声データから、分析目的にあった波形データの抽出やノイズの除去ができる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
279,32,非構造化データ処理,非構造化データ処理,音声認識,★★,音声認識や本人認証、感情分析などの代表的な音声処理分野について理解し、用いられる分析手法を説明できる,,,,,,31,★★,音声認識や本人認証、感情分析などの代表的な音声処理分野について理解し、用いられる分析手法を説明できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
280,33,非構造化データ処理,非構造化データ処理,音声認識,★★★,短時間フーリエ分析、メルフィルタバンク処理、ケプストラム分析、LPC（線形予測分析）などの代表的な音声信号分析手法を理解し、使いこなすことができる,,,,,,32,★★★,短時間フーリエ分析、メルフィルタバンク処理、ケプストラム分析、LPC（線形予測分析）などの代表的な音声信号分析手法を理解し、使いこなすことができる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
281,34,非構造化データ処理,非構造化データ処理,音声認識,★★★,音声認識、音声合成、認証・感情分析などの目的に合わせて、パラメータ調整や手法変更、言語モデル・音響モデルなどを差し替え、モデル構築・精度評価ができる,,,,,,33,★★★,音声認識、音声合成、認証・感情分析などの目的に合わせて、パラメータ調整や手法変更、言語モデル・音響モデルなどを差し替え、モデル構築・精度評価ができる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
,35,非構造化データ処理,非構造化データ処理,音声認識,★★★,大規模音声データの学習済みモデル（Wav2Vec 2.0、HuBERT、Whisperなど）を目的に応じて適切に選択し、少数ラベルデータや高雑音などの実装環境に応じたモデルの調整や評価設計を実施できる,,,,新規,,,,,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
,36,非構造化データ処理,非構造化データ処理,音声認識,★★★,音声と映像・テキストを統合するマルチモーダルモデル（AVSR、多言語音声基盤、音声LLM等）を設計・実装し、高雑音下や妨害話者・業務固有語彙など複雑な文脈での認識精度の改善を実行できる,,,,新規,,,,,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
282,1,AI活用,生成,大規模言語モデル,★,大規模言語モデル（LLM）でHallucinationが起こる理由を学習に使われているデータの観点から説明できる（学習用データが誤りや歪みを含んでいる場合や、入力された問いに対応する学習用データが存在しない場合など）,,,,,,9,★,大規模言語モデル（LLM）でHallucinationが起こる理由を学習に使われているデータの観点から説明できる（学習用データが誤りや歪みを含んでいる場合や、入力された問いに対応する学習用データが存在しない場合など）,◯,⑦技術課題対応,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
283,2,AI活用,生成,大規模言語モデル,★★,大規模言語モデル（LLM）を活用することが、独自に言語処理を開発することに対してメリットがある状況を、訓練データの収集コストや目的の汎用性、訓練に必要なコンピューターリソース（GPUやTPU）などの観点から説明できる,,＊,,,,5,★★,大規模言語モデル（LLM）を活用することが、独自に言語処理を開発することに対してメリットがある状況を、訓練データの収集コストや目的の汎用性、訓練に必要なコンピューターリソース（GPUやTPU）などの観点から説明できる,◯,⑥技術的理解,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
284,3,AI活用,生成,大規模言語モデル,★★,目的特化型のモデルと基盤モデルの違いについて汎用性や学習方法（データ量や教師データの有無など）の観点から理解し、目的に合わせて使い分けの判断ができる,,,,,,7,★★,目的特化型のモデルと基盤モデルの違いについて汎用性や学習方法（データ量や教師データの有無など）の観点から理解し、目的に合わせて使い分けの判断ができる,◯,⑥技術的理解,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
285,4,AI活用,生成,大規模言語モデル,★★,大規模言語モデル（LLM）でHallucinationが起こる理由を言語モデルとしての特性（尤度にもとづくワード生成）や学習手法（自己教師あり学習やRLHF等）、汎化（外挿に対する真実味）の観点などから説明できる,,,,,,10,★★,大規模言語モデル（LLM）でHallucinationが起こる理由を言語モデルとしての特性（尤度にもとづくワード生成）や学習手法（自己教師あり学習やRLHF等）、汎化（外挿に対する真実味）の観点などから説明できる,◯,⑦技術課題対応,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
286,5,AI活用,生成,大規模言語モデル,★★,基準となる指標や評価のためのデータセットなどの性能評価方針に従い、大規模言語モデル（LLM）の性能を評価できる,,,,,,3,★★,基準となる指標や評価のためのデータセットなどの性能評価方針に従い、大規模言語モデル（LLM）の性能を評価できる,◯,④作る-評価,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
,6,AI活用,生成,大規模言語モデル,★★,"生成文と外部知識（RAG文脈や引用）との整合性を、評価指標（SelfCheckGPT, FactCC, FEVER, RAGAS）を駆使し、誤情報抑制の仕組みを設計・運用できる",,,,新規,,,,,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
,7,AI活用,生成,大規模言語モデル,★★,生成AIの有害出力（差別・攻撃・性的・暴力的など）に対し、検知ツール［OpenAI Moderation API、Detoxify、Perspective API］や倫理的制御手法［Constitutional AI、システムプロンプト設計］を使い、評価・運用・監視まで一貫して設計・改善できる,,,,新規,,,,,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
,8,AI活用,生成,大規模言語モデル,★★,従来指標（BLEU／ROUGE／BERTScore）に加え、LLM-as-a-Judge/Criticを用いて出力の品質を自動で測定・フィードバックすることができる,,,,新規,,,,,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
,9,AI活用,生成,大規模言語モデル,★★,大規模言語モデルの推論性能の向上に活用される手法（RLHFやRLVRなどによる強化学習を通じた報酬設計の改善や、GPROなどによる推論過程の最適化など）について理解している,,,,新規,,,,,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
288,10,AI活用,生成,大規模言語モデル,★★★,大規模言語モデル（LLM）とそれ以前の自然言語処理技術について、それぞれが得意とするタスクや処理性能、ドメインユースへのカスタマイズ可否などの観点から違いを理解し、自社組織の課題に対して適切な手法の導入を推進できる,,,,,,8,★★★,大規模言語モデル（LLM）とそれ以前の自然言語処理技術について、それぞれが得意とするタスクや処理性能、ドメインユースへのカスタマイズ可否などの観点から違いを理解し、自社組織の課題に対して適切な手法の導入を推進できる,◯,⑥技術的理解,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
289,11,AI活用,生成,大規模言語モデル,★★★,オープンソースの大規模言語モデル（LLM）を活用する上での留意点（入出力データの管理方法や性能面での限界など）と使い方（パラメータ更新可否や代表的なファインチューニング方法など）を理解し導入できる,,,,,,6,★★★,オープンソースの大規模言語モデル（LLM）を活用する上での留意点（入出力データの管理方法や性能面での限界など）と使い方（パラメータ更新可否や代表的なファインチューニング方法など）を理解し導入できる,◯,③作る-実装,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
